FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
260325;0000;;15;;
260326;0000;;16;;
260327;0000;;18;;
260328;0000;;23;;
260329;0000;;17;;
260330;0000;;19;;
260331;0000;;21;;
260401;0000;;19;;
260402;0000;;;;
260403;0000;;;;
260404;0000;;;;
260405;0000;;;;
260406;0000;;;;
260407;0000;;19;;
260408;0000;;20;;
260409;0000;;21;;
260410;0000;;18;;
260411;0000;;17;;
260412;0000;;17;;
260413;0000;;20;;
260414;0000;;19;;
260415;0000;;27;;
260416;0000;;22;;
260417;0000;;14;;
260418;0000;;7;;
260419;0000;;8;;
260420;0000;;12;;
260421;0000;;22;;
260422;0000;;22;;
260423;0000;;23;;
260424;0000;;24;;
260425;0000;;29;;
260426;0000;;25;;
260427;0000;;20;;
260428;0000;;16;;
260429;0000;;16;;
260430;0000;;20;;
260501;0000;;28;;
260502;0000;;41;;
260503;0000;;23;;
260504;0000;;23;;
260505;0000;;22;;
260506;0000;;9;;
260507;0000;;10;;
260508;0000;;17;;
260509;0000;;33;;
260510;0000;;37;;
260511;0000;;29;;
260512;0000;;30;;
260513;0000;;53;;
260514;0000;;65;;
260515;0000;;47;;
260516;0000;;49;;
260517;0000;;50;;
260518;0000;;30;;
260519;0000;;39;;
260520;0000;;60;;
260521;0000;;52;;
260522;0000;;61;;
260523;0000;;56;;
260524;0000;;91;;
260525;0000;;57;;
260526;0000;;28;;
260527;0000;;36;;
260528;0000;;41;;
260529;0000;;59;;
260530;0000;;53;;
260531;0000;;38;;
260601;0000;;51;;
260602;0000;;69;;
260603;0000;;57;;
260604;0000;;39;;
260605;0000;;44;;
260606;0000;;55;;
260607;0000;;67;;
260608;0000;;45;;
260609;0000;;24;;
260610;0000;;23;;
