FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
260325;0000;;48;;
260326;0000;;56;;
260327;0000;;65;;
260328;0000;;60;;
260329;0000;;52;;
260330;0000;;57;;
260331;0000;;61;;
260401;0000;;57;;
260402;0000;;72;;
260403;0000;;70;;
260404;0000;;71;;
260405;0000;;54;;
260406;0000;;49;;
260407;0000;;80;;
260408;0000;;77;;
260409;0000;;73;;
260410;0000;;51;;
260411;0000;;55;;
260412;0000;;60;;
260413;0000;;67;;
260414;0000;;62;;
260415;0000;;94;;
260416;0000;;88;;
260417;0000;;66;;
260418;0000;;37;;
260419;0000;;35;;
260420;0000;;24;;
260421;0000;;57;;
260422;0000;;61;;
260423;0000;;75;;
260424;0000;;70;;
260425;0000;;71;;
260426;0000;;68;;
260427;0000;;67;;
260428;0000;;59;;
260429;0000;;66;;
260430;0000;;74;;
260501;0000;;54;;
260502;0000;;89;;
260503;0000;;65;;
260504;0000;;90;;
260505;0000;;92;;
260506;0000;;33;;
260507;0000;;31;;
260508;0000;;48;;
260509;0000;;82;;
260510;0000;;97;;
260511;0000;;88;;
260512;0000;;66;;
260513;0000;;107;;
260514;0000;;154;;
260515;0000;;116;;
260516;0000;;93;;
260517;0000;;111;;
260518;0000;;104;;
260519;0000;;125;;
260520;0000;;152;;
260521;0000;;80;;
260522;0000;;102;;
260523;0000;;86;;
260524;0000;;137;;
260525;0000;;131;;
260526;0000;;97;;
260527;0000;;103;;
260528;0000;;120;;
260529;0000;;161;;
260530;0000;;129;;
260531;0000;;67;;
260601;0000;;103;;
260602;0000;;150;;
260603;0000;;151;;
260604;0000;;123;;
260605;0000;;101;;
260606;0000;;113;;
260607;0000;;136;;
260608;0000;;109;;
260609;0000;;70;;
260610;0000;;56;;
