FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
260209;0000;;8,31;;
260210;0000;;6,94;;
260211;0000;;10,4;;
260212;0000;;13,17;;
260213;0000;;15,65;;
260214;0000;;10,52;;
260215;0000;;7,39;;
260216;0000;;13,58;;
260217;0000;;14,94;;
260218;0000;;12,31;;
260219;0000;;13,39;;
260220;0000;;13,92;;
260221;0000;;10,15;;
260222;0000;;11,51;;
260223;0000;;15,26;;
260224;0000;;17,24;;
260225;0000;;17,38;;
260226;0000;;17,09;;
260227;0000;;15,68;;
260228;0000;;11,71;;
260301;0000;;9,68;;
260302;0000;;6,88;;
260303;0000;;14,1;;
260304;0000;;;18,35;
260305;0000;;;21,48;
260306;0000;;;22,76;
260307;0000;;;15,33;
260308;0000;;;13,34;
260309;0000;;;19,22;
260310;0000;;;23,85;
260311;0000;;;22,36;
260312;0000;;;27,57;
260313;0000;;;34,62;
260314;0000;;;31,25;
260315;0000;;;26,01;
260316;0000;;;17,35;
260317;0000;;12,71;;
260318;0000;;18,79;;
260319;0000;;15,21;;
260320;0000;;10,93;;
260321;0000;;9,09;;
260322;0000;;;13,6;
260323;0000;;18,15;;
260324;0000;;17,9;;
260325;0000;;16,31;;
260326;0000;;16,99;;
260327;0000;;17,44;;
260328;0000;;15,1;;
260329;0000;;15,93;;
260330;0000;;19,81;;
260331;0000;;20,06;;
260401;0000;;15,54;;
260402;0000;;18,73;;
260403;0000;;19,3;;
260404;0000;;21,63;;
260405;0000;;12,2;;
260406;0000;;14,29;;
260407;0000;;23,77;;
260408;0000;;20,67;;
260409;0000;;19,1;;
260410;0000;;13,87;;
260411;0000;;9,01;;
260412;0000;;16,42;;
260413;0000;;20,39;;
260414;0000;;16,97;;
260415;0000;;30,64;;
260416;0000;;28,64;;
260417;0000;;18,37;;
260418;0000;;10,64;;
260419;0000;;8,88;;
260420;0000;;12,9;;
260421;0000;;17,81;;
260422;0000;;22,59;;
260423;0000;;27,14;;
260424;0000;;23,07;;
260425;0000;;22,19;;
260426;0000;;21,3;;
260427;0000;;26,34;;
260428;0000;;22,18;;
260429;0000;;26,5;;
260430;0000;;24,91;;
260501;0000;;14,62;;
260502;0000;;24,15;;
260503;0000;;21,8;;
260504;0000;;31,68;;
260505;0000;;28,78;;
260506;0000;;17,54;;
260507;0000;;12,87;;
260508;0000;;19,56;;
260509;0000;;29,42;;
260510;0000;;34,83;;
260511;0000;;36,12;;
260512;0000;;23,61;;
260513;0000;;35,74;;
260514;0000;;42,84;;
260515;0000;;36,8;;
260516;0000;;23,04;;
260517;0000;;31,92;;
260518;0000;;40,09;;
260519;0000;;44,61;;
260520;0000;;46,58;;
260521;0000;;24,13;;
260522;0000;;34,74;;
260523;0000;;25,61;;
260524;0000;;38,41;;
260525;0000;;44,24;;
260526;0000;;41,16;;
260527;0000;;31,65;;
260528;0000;;36,03;;
260529;0000;;50,38;;
260530;0000;;44,4;;
260531;0000;;19,32;;
260601;0000;;;26,18;
260602;0000;;;46,29;
260603;0000;;;45,82;
260604;0000;;;41,43;
260605;0000;;;25,72;
260606;0000;;;27,61;
260607;0000;;;32,51;
260608;0000;;;35,37;
260609;0000;;;22,22;
260610;0000;;;23,86;
