FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
260326;0000;;26;;
260327;0000;;30;;
260328;0000;;30;;
260329;0000;;31;;
260330;0000;;27;;
260331;0000;;28;;
260401;0000;;23;;
260402;0000;;28;;
260403;0000;;31;;
260404;0000;;27;;
260405;0000;;18;;
260406;0000;;17;;
260407;0000;;26;;
260408;0000;;26;;
260409;0000;;24;;
260410;0000;;16;;
260411;0000;;34;;
260412;0000;;26;;
260413;0000;;27;;
260414;0000;;15;;
260415;0000;;19;;
260416;0000;;18;;
260417;0000;;20;;
260418;0000;;15;;
260419;0000;;18;;
260420;0000;;11;;
260421;0000;;12;;
260422;0000;;16;;
260423;0000;;16;;
260424;0000;;17;;
260425;0000;;19;;
260426;0000;;15;;
260427;0000;;10;;
260428;0000;;16;;
260429;0000;;17;;
260430;0000;;16;;
260501;0000;;;11;
260502;0000;;;20;
260503;0000;;;22;
260504;0000;;;10;
260505;0000;;;12;
260506;0000;;;8;
260507;0000;;;15;
260508;0000;;;11;
260509;0000;;;12;
260510;0000;;;15;
260511;0000;;;12;
260512;0000;;;7;
260513;0000;;;6;
260514;0000;;;10;
260515;0000;;;7;
260516;0000;;;16;
260517;0000;;;18;
260518;0000;;;9;
260519;0000;;;10;
260520;0000;;;6;
260521;0000;;;6;
260522;0000;;;6;
260523;0000;;;5;
260524;0000;;;6;
260525;0000;;;6;
260526;0000;;;7;
260527;0000;;;10;
260528;0000;;;9;
260529;0000;;;6;
260530;0000;;;14;
260531;0000;;;7;
260601;0000;;;6;
260602;0000;;;4;
260603;0000;;;4;
260604;0000;;;8;
260605;0000;;;3;
260606;0000;;;8;
260607;0000;;;16;
260608;0000;;;12;
260609;0000;;;5;
260610;0000;;;6;
